"time","mean_ssa","mean_jsf","mean_diff","abs_error","rel_error"
3.05,23.55,23.5421607380828,-0.0078392619171801,0.0078392619171801,0.000332877363786841
3.1,23.95,24.1195548995033,0.169554899503282,0.169554899503282,0.00707953651370698
3.15,24.39,24.7118375572925,0.321837557292536,0.321837557292536,0.013195471803712
3.2,25.19,25.2988235818657,0.108823581865739,0.108823581865739,0.00432011043532111
3.25,25.62,26.0008842516594,0.380884251659399,0.380884251659399,0.0148666764894379
3.3,25.99,26.6408182804308,0.650818280430787,0.650818280430787,0.0250411035179218
3.35,26.91,27.2489292868671,0.338929286867074,0.338929286867074,0.0125949196160191
3.4,27.42,27.9245252824761,0.504525282476102,0.504525282476102,0.0183999008926368
3.45,28.15,28.6469284110513,0.496928411051321,0.496928411051321,0.0176528742824626
3.5,28.74,29.3782213375116,0.63822133751162,0.63822133751162,0.0222067271228817
3.55,29.51,30.118342163269,0.608342163269018,0.608342163269018,0.0206147801853276
3.6,30.43,30.9272469422805,0.497246942280455,0.497246942280455,0.0163406816391868
3.65,31.27,31.7172401432797,0.447240143279664,0.447240143279664,0.0143025309651316
3.7,31.83,32.5386406800417,0.708640680041711,0.708640680041711,0.022263295006023
3.75,32.67,33.3203336423273,0.650333642327332,0.650333642327332,0.019906141485379
3.8,33.42,34.1722703565347,0.752270356534659,0.752270356534659,0.0225095857730299
3.85,34.09,35.0393951129052,0.949395112905236,0.949395112905236,0.0278496659696461
3.9,35.3,35.8990329964807,0.59903299648073,0.59903299648073,0.0169697732714088
3.95,36.3,36.8106303263842,0.510630326384181,0.510630326384181,0.0140669511400601
4,37.13,37.7347416061534,0.604741606153382,0.604741606153382,0.0162871426381196
4.05,38.19,38.6619353412353,0.471935341235316,0.471935341235316,0.0123575632687959
4.1,39.04,39.6527943925519,0.612794392551898,0.612794392551898,0.0156965776780712
4.15,40.06,40.6890190889937,0.629019088993715,0.629019088993715,0.0157019243383354
4.2,40.82,41.6940386377994,0.874038637799444,0.874038637799444,0.0214120195443274
4.25,41.86,42.7457997849374,0.885799784937412,0.885799784937412,0.02116100776248
4.3,42.61,43.8060943443449,1.19609434434489,1.19609434434489,0.0280707426506663
4.35,43.67,44.9234151825936,1.25341518259362,1.25341518259362,0.0287019734965336
4.4,44.93,46.0784447470917,1.14844474709174,1.14844474709174,0.0255607555551245
4.45,45.76,47.2318827178996,1.47188271789963,1.47188271789963,0.0321652691848696
4.5,47.04,48.404446442876,1.36444644287598,1.36444644287598,0.0290060893468533
4.55,48.35,49.6068713838118,1.25687138381184,1.25687138381184,0.025995271640369
4.6,48.98,50.8699115738301,1.88991157383013,1.88991157383013,0.0385853730875895
4.65,50.18,52.144340086335,1.964340086335,1.964340086335,0.0391458765710442
4.7,51.7,53.4609495158028,1.76094951580283,1.76094951580283,0.034060919067753
4.75,52.89,54.8305524707137,1.94055247071375,1.94055247071375,0.036690347338131
4.8,54.34,56.2456403426803,1.9056403426803,1.9056403426803,0.0350688322171568
4.85,55.59,57.6715644735822,2.08156447358224,2.08156447358224,0.0374449446587919
4.9,57.11,59.1338035458991,2.02380354589915,2.02380354589915,0.0354369382927534
4.95,58.41,60.6327134746337,2.22271347463369,2.22271347463369,0.0380536462015697
5,59.89,62.1792202448637,2.28922024486367,2.28922024486367,0.0382237476183615
5.05,61.63,63.7442732239505,2.11427322395053,2.11427322395053,0.0343059098482968
5.1,63.21,65.3388457519712,2.12884575197125,2.12884575197125,0.0336789392813044
5.15,64.88,66.9939357470594,2.11393574705944,2.11393574705944,0.0325822402444427
5.2,66.58,68.6705663260322,2.09056632603216,2.09056632603216,0.0313993139986807
5.25,68.22,70.4197864406881,2.19978644068814,2.19978644068814,0.0322454769963082
5.3,69.66,72.1926715301736,2.53267153017357,2.53267153017357,0.0363576159944527
5.35,71.11,73.9903241898207,2.88032418982066,2.88032418982066,0.040505191812975
5.4,72.9,75.8738748568755,2.9738748568755,2.9738748568755,0.0407938937843004
5.45,75,77.7744825135412,2.77448251354123,2.77448251354123,0.0369931001805497
5.5,77.05,79.733335407774,2.68333540777397,2.68333540777397,0.034825897570071
5.55,78.66,81.7416517922797,3.08165179227974,3.08165179227974,0.0391768598052345
5.6,80.51,83.800680682172,3.29068068217201,3.29068068217201,0.0408729435122595
5.65,82.6,85.8917026317611,3.2917026317611,3.2917026317611,0.0398511214498922
5.7,84.49,88.0660305309583,3.57603053095828,3.57603053095828,0.0423248968038617
5.75,86.85,90.2950104217903,3.44501042179034,3.44501042179034,0.0396662109590137
5.8,89.41,92.550022335532,3.14002233553204,3.14002233553204,0.0351193640032663
5.85,92.5,94.8724811509771,2.37248115097711,2.37248115097711,0.0256484448754282
5.9,95.32,97.2638374743819,1.94383747438192,1.94383747438192,0.0203927557110986
5.95,97.92,99.7155785416286,1.79557854162856,1.79557854162856,0.0183371991587884
